no;treated;age;age2;educ;black;hispanic;married;nodegree;re74;re75;re78
1;1;37;1369;11;1;0;1;1;0;0;9930.045898
2;1;22;484;9;0;1;0;1;0;0;3595.894043
3;1;30;900;12;1;0;0;0;0;0;24909.44922
4;1;27;729;11;1;0;0;1;0;0;7506.145996
5;1;33;1089;8;1;0;0;1;0;0;289.7898865
6;1;22;484;9;1;0;0;1;0;0;4056.493896
7;1;23;529;12;1;0;0;0;0;0;0
8;1;32;1024;11;1;0;0;1;0;0;8472.158203
9;1;22;484;16;1;0;0;0;0;0;2164.021973
10;1;33;1089;12;0;0;1;0;0;0;12418.07031
11;1;19;361;9;1;0;0;1;0;0;8173.908203
12;1;21;441;13;1;0;0;0;0;0;17094.64063
13;1;18;324;8;1;0;0;1;0;0;0
14;1;27;729;10;1;0;1;1;0;0;18739.92969
15;1;17;289;7;1;0;0;1;0;0;3023.878906
16;1;19;361;10;1;0;0;1;0;0;3228.50293
17;1;27;729;13;1;0;0;0;0;0;14581.86035
18;1;23;529;10;1;0;0;1;0;0;7693.399902
19;1;40;1600;12;1;0;0;0;0;0;10804.32031
20;1;26;676;12;1;0;0;0;0;0;10747.34961
21;1;23;529;11;1;0;0;1;0;0;0
22;1;41;1681;14;0;0;0;0;0;0;5149.500977
23;1;38;1444;9;0;0;0;1;0;0;6408.950195
24;1;24;576;11;1;0;0;1;0;0;1991.400024
25;1;18;324;10;1;0;0;1;0;0;11163.16992
26;1;29;841;11;1;0;1;1;0;0;9642.999023
27;1;25;625;11;1;0;0;1;0;0;9897.048828
28;1;27;729;10;0;1;0;1;0;0;11142.87012
29;1;17;289;10;1;0;0;1;0;0;16218.04004
30;1;24;576;11;1;0;0;1;0;0;995.7001953
31;1;17;289;10;1;0;0;1;0;0;0
32;1;48;2304;4;1;0;0;1;0;0;6551.591797
33;1;25;625;11;1;0;1;1;0;0;1574.42395
34;1;20;400;12;1;0;0;0;0;0;0
35;1;25;625;12;1;0;0;0;0;0;3191.75293
36;1;42;1764;14;1;0;0;0;0;0;20505.92969
37;1;25;625;5;1;0;0;1;0;0;6181.879883
38;1;23;529;12;1;0;1;0;0;0;5911.550781
